TimeLine,ChannelCode,RiskRating,Applications,Approvals,AvgApprovalAmount,Listings,AvgListingsAmount,Loans,AvgLoanAmount
1/1/2014,Digital,A,1,1,19980.02098,1,14485.51548,1,14485.51548
1/1/2014,Digital,AA,1,1,19980.02098,0,NULL,0,NULL
1/1/2014,Digital,B,2,2,12543.72864,0,NULL,0,NULL
1/1/2014,Digital,C,3,3,8997.001333,2,5247.376812,1,8491.509491
1/1/2014,Digital,D,1,1,14985.01598,0,NULL,0,NULL
1/1/2014,Digital,N/A,66,22,23453.47943,0,NULL,0,NULL
1/1/2014,Direct Mail,A,19,19,23110.57318,14,15927.43383,12,14957.08699
1/1/2014,Direct Mail,AA,7,7,21282.67405,4,14996.25119,4,14996.25119
1/1/2014,Direct Mail,B,22,22,20726.33067,11,14553.22253,8,16122.98475
1/1/2014,Direct Mail,C,24,24,20603.30824,15,12915.80568,9,10998.77802
1/1/2014,Direct Mail,D,7,7,19211.54135,3,10663.11263,2,13993.004
1/1/2014,Direct Mail,E,4,4,10497.37591,3,8330.556814,1,9990.010989
1/1/2014,Direct Mail,N/A,241,110,21019.01656,0,NULL,0,NULL
1/1/2014,DirectToSite,A,17,17,16351.97935,12,12748.93767,6,15164.13948
1/1/2014,DirectToSite,AA,11,11,13039.17835,8,8811.3987,2,14992.50425
1/1/2014,DirectToSite,B,23,23,19238.29403,18,15054.71924,11,16180.34733
1/1/2014,DirectToSite,C,19,19,17472.76464,15,13765.74902,12,11540.70502
1/1/2014,DirectToSite,D,12,12,11749.021,6,6332.27812,4,8497.875781
1/1/2014,DirectToSite,E,6,6,19496.75071,3,3998.667444,2,3998.001499
1/1/2014,DirectToSite,HR,2,2,13493.25387,2,3998.001499,2,3998.001499
1/1/2014,DirectToSite,N/A,363,57,22376.80042,0,NULL,0,NULL
1/1/2014,Email,A,1,1,9990.010989,1,9990.010989,1,9990.010989
1/1/2014,Email,C,1,1,7992.008991,1,1998.002997,1,1998.002997
1/1/2014,Email,N/A,4,1,29970.03097,0,NULL,0,NULL
1/1/2014,Partner,A,37,37,14933.35318,25,11695.69221,19,11431.18788
1/1/2014,Partner,AA,9,9,15578.26919,7,13315.24082,5,10641.87183
1/1/2014,Partner,B,20,20,17779.11109,9,14006.77714,3,11162.94602
1/1/2014,Partner,C,21,21,15005.57121,17,10221.86936,12,9772.685693
1/1/2014,Partner,D,7,7,20011.42708,5,10897.82064,5,10897.82064
1/1/2014,Partner,E,8,8,11948.50656,3,7997.334555,3,8997.001333
1/1/2014,Partner,N/A,704,187,15364.07822,0,NULL,0,NULL
1/2/2014,Digital,A,5,5,22995.40112,5,14197.16077,2,7996.002499
1/2/2014,Digital,AA,2,2,21239.38081,2,13243.37881,2,13243.37881
1/2/2014,Digital,B,7,7,16319.09741,3,8997.001333,2,8495.752624
1/2/2014,Digital,C,5,5,20395.92102,3,10663.11263,3,10663.11263
1/2/2014,Digital,D,2,2,12493.75362,2,8995.502749,0,NULL
1/2/2014,Digital,N/A,126,35,16113.82535,0,NULL,0,NULL
1/2/2014,Direct Mail,A,49,49,22101.58978,26,14749.43275,16,13999.12512
1/2/2014,Direct Mail,AA,16,16,23920.50503,8,17622.79728,4,18370.40765
1/2/2014,Direct Mail,B,45,45,20986.02256,31,15163.76894,22,15562.56538
1/2/2014,Direct Mail,C,47,47,21595.28523,27,14129.10637,23,13716.79497
1/2/2014,Direct Mail,D,13,13,15075.76348,5,7198.560488,3,7664.112296
1/2/2014,Direct Mail,E,9,9,17553.60527,4,6498.375656,2,4497.751624
1/2/2014,Direct Mail,N/A,503,229,20992.9651,0,NULL,0,NULL
1/2/2014,DirectToSite,A,21,21,21056.14023,15,12145.85701,13,11783.70902
1/2/2014,DirectToSite,AA,13,13,14460.4262,11,10089.99191,6,9998.333778
1/2/2014,DirectToSite,B,21,21,20902.57612,14,12077.70881,12,12590.61753
1/2/2014,DirectToSite,C,27,27,16480.87112,17,11175.81325,12,12415.63211
1/2/2014,DirectToSite,D,15,15,15532.29791,12,9082.576535,10,8449.155184
1/2/2014,DirectToSite,E,6,6,14997.50058,4,7248.188203,4,8497.875781
1/2/2014,DirectToSite,HR,1,1,14985.01598,1,3996.004995,1,3996.004995
1/2/2014,DirectToSite,N/A,640,142,17702.91696,0,NULL,0,NULL
1/2/2014,Email,A,1,1,4995.005994,1,2997.003996,1,2997.003996
1/2/2014,Email,B,2,2,16741.62969,1,9990.010989,1,9990.010989
1/2/2014,Email,E,1,1,9990.010989,1,7992.008991,1,6993.007992
1/2/2014,Email,N/A,4,2,17491.25487,0,NULL,0,NULL
1/2/2014,Partner,A,31,31,15299.11942,14,10042.49704,11,11419.87101
1/2/2014,Partner,AA,12,12,14207.14949,7,10612.76975,3,9996.668111
1/2/2014,Partner,B,28,28,16789.18614,15,11719.21879,8,14223.22222
1/2/2014,Partner,C,33,33,15986.6065,18,12232.6538,12,12182.31822
1/2/2014,Partner,D,21,21,14289.79577,14,11484.89401,9,9032.329852
1/2/2014,Partner,E,16,16,10449.34698,12,6249.479293,11,5908.553859
1/2/2014,Partner,HR,2,2,22488.75612,1,3996.004995,1,3996.004995
1/2/2014,Partner,N/A,1119,272,14033.88958,0,NULL,0,NULL
1/3/2014,Digital,A,2,2,14992.50425,2,14242.87906,2,13493.25387
1/3/2014,Digital,B,5,5,15596.88082,4,10872.28218,3,12329.22393
1/3/2014,Digital,C,7,7,19640.05156,5,12997.40072,3,13328.8907
1/3/2014,Digital,D,3,3,23325.55848,3,11662.77941,1,9990.010989
1/3/2014,Digital,E,2,2,9995.002999,2,9995.002999,1,9990.010989
1/3/2014,Digital,HR,1,1,34965.03596,1,3996.004995,1,3996.004995
1/3/2014,Digital,N/A,99,29,15496.14189,0,NULL,0,NULL
1/3/2014,Direct Mail,A,55,55,22477.77315,34,12831.97556,23,13121.16869
1/3/2014,Direct Mail,AA,13,13,25613.41443,11,14362.33079,8,14248.2191
1/3/2014,Direct Mail,B,44,44,22510.85205,28,14881.61141,20,15149.24259
1/3/2014,Direct Mail,C,56,56,19928.21559,37,14121.23999,17,13587.43609
1/3/2014,Direct Mail,D,11,11,15089.53741,8,6311.711161,5,7998.40052
1/3/2014,Direct Mail,E,10,10,16498.35026,7,8855.877875,5,7398.520496
1/3/2014,Direct Mail,N/A,648,292,21182.21513,0,NULL,0,NULL
1/3/2014,DirectToSite,A,28,28,21738.50937,13,13514.34513,9,13631.8188
1/3/2014,DirectToSite,AA,6,6,15873.51791,4,5812.792052,0,NULL
1/3/2014,DirectToSite,B,23,23,19390.46133,12,11849.01267,7,13855.16369
1/3/2014,DirectToSite,C,34,34,14158.40714,24,11257.8643,18,8677.295761
1/3/2014,DirectToSite,D,11,11,13226.07045,7,9427.224825,6,6998.833694
1/3/2014,DirectToSite,E,6,6,15997.33394,2,8495.752624,2,8495.752624
1/3/2014,DirectToSite,HR,1,1,3996.004995,1,3996.004995,0,NULL
1/3/2014,DirectToSite,N/A,562,91,19546.52708,0,NULL,0,NULL
1/3/2014,Email,A,1,1,14985.01598,0,NULL,0,NULL
