,id,is_closed,name,image_url,url,mobile_url,phone,display_phone,review_count,categories,rating,snippet_text,location_address,location_display_address,location_city,location_state_code,location_postal_code,location_country_code,location_cross_streets,location_neighborhoods,location_coordinate,location_latitude,location_longitude
0,log-cabin-at-the-presidio-san-francisco,False,Log Cabin at the Presidio,https://s3-media3.fl.yelpcdn.com/bphoto/CmBexefTIAX11t4oCF_Csw/ms.jpg,https://www.yelp.com/biz/log-cabin-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/log-cabin-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155615444,+1-415-561-5444,24.0,"[[Venues & Event Spaces, venues]]",4.5,"Gorgeous venue! We couldn't have been happier. Yes, they require you to use a full service caterer, but not a big deal since you will most likely use that...",[1299 Storey Ave],"[1299 Storey Ave, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,Miller Rd & Stone St,[Presidio],"{u'latitude': 37.8038376838, u'longitude': -122.473276203}",37.8038376838,-122.473276203
1,presidio-nursery-san-francisco,False,Presidio Nursery,https://s3-media1.fl.yelpcdn.com/bphoto/qKvyb1NpCF90j7YeL1H09A/ms.jpg,https://www.yelp.com/biz/presidio-nursery-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/presidio-nursery-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155614826,+1-415-561-4826,5.0,"[[Nurseries & Gardening, gardening]]",5.0,I went here a couple of times in the past month for the first time and had a blast volunteering! The people are really nice and they do an awesome job for...,[1249 Appleton St],"[1249 Appleton St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.80084332, u'longitude': -122.4711798}",37.80084332,-122.4711798
2,fort-scott-field-at-the-presidio-san-francisco,False,Fort Scott Field at the Presidio,https://s3-media4.fl.yelpcdn.com/bphoto/LZVhxPq2TpTpq4AGFd8jHg/ms.jpg,https://www.yelp.com/biz/fort-scott-field-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/fort-scott-field-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155614200,+1-415-561-4200,5.0,"[[Recreation Centers, recreation], [Soccer, football]]",3.0,"Presidio Habitats has / had an art installation here... basically funky looking chairs waist deep in grass. You are meant to sit, ponder, and observe our...",[],"[Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8031542208, u'longitude': -122.474578895}",37.8031542208,-122.474578895
3,roaring-mouse-cycles-san-francisco,False,Roaring Mouse Cycles,https://s3-media2.fl.yelpcdn.com/bphoto/PrUfCR7uzToYkOcCRm0DWw/ms.jpg,https://www.yelp.com/biz/roaring-mouse-cycles-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/roaring-mouse-cycles-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4157536272,+1-415-753-6272,209.0,"[[Bikes, bikes], [Bike Repair/Maintenance, bike_repair_maintenance]]",4.5,"Shop Summary:
I should have written this review a while ago. This is simply the best bicycle shop I have ever done business with period. I could write 3 or...",[934 Old Mason St],"[934 Old Mason St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8040876459, u'longitude': -122.467603683}",37.8040876459,-122.467603683
4,house-of-air-san-francisco,False,House of Air,https://s3-media3.fl.yelpcdn.com/bphoto/0L-53cjxuM5b_-3X9qeeEw/ms.jpg,https://www.yelp.com/biz/house-of-air-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/house-of-air-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4152003068,+1-415-200-3068,416.0,"[[Recreation Centers, recreation], [Trampoline Parks, trampoline]]",4.0,"Such a great workout!

I'm an avid classpass-er and took the Air Conditioning workout class and WOWZA, it was a blast! What more can you ask for, jumping...",[926 Mason St],"[926 Mason St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.804902, u'longitude': -122.468805}",37.804902,-122.468805
5,planet-granite-san-francisco-2,False,Planet Granite,https://s3-media2.fl.yelpcdn.com/bphoto/jJmMYrOj3rY2hoP_Xc1xXA/ms.jpg,https://www.yelp.com/biz/planet-granite-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/planet-granite-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4156923434,+1-415-692-3434,364.0,"[[Gyms, gyms], [Yoga, yoga], [Rock Climbing, rock_climbing]]",4.5,"Best Gym Ever :) Best Location Ever.

No need to say more.",[924  Mason St],"[924  Mason St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8042571852, u'longitude': -122.468032837}",37.8042571852,-122.468032837
6,he-commissary-san-francisco,False,The Commissary,https://s3-media4.fl.yelpcdn.com/bphoto/srMW70uO2XCUsDIrFYg7yA/ms.jpg,https://www.yelp.com/biz/he-commissary-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/he-commissary-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155613600,+1-415-561-3600,258.0,"[[Spanish, spanish], [American (New), newamerican], [Beer, Wine & Spirits, beer_and_wine]]",3.5,My friends and I had a recent dinner club at The Commissary and had a great experience.  Dining in the Presidio is a pretty amazing thing and The Commissary...,[101 Montgomery St],"[101 Montgomery St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.799758721, u'longitude': -122.459699661}",37.799758721,-122.459699661
7,american-lamb-jam-san-francisco,False,American Lamb Jam,https://s3-media3.fl.yelpcdn.com/bphoto/YMo-s1P6RWgSpgaSZb95kg/ms.jpg,https://www.yelp.com/biz/american-lamb-jam-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/american-lamb-jam-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,,,19.0,"[[Specialty Food, gourmet], [Wineries, wineries]]",4.5,"Just got home from the second year in a row attending Lamb Jam.  What a great event! With a limited number of tickets sold, the crowds stay manageable. The...",[135 Fisher Lp],"[135 Fisher Lp, Presidio, San Francisco, CA 94123]",San Francisco,CA,94123,US,,[Presidio],"{u'latitude': 37.7999573, u'longitude': -122.4619827}",37.7999573,-122.4619827
8,the-walt-disney-family-museum-san-francisco,False,The Walt Disney Family Museum,https://s3-media1.fl.yelpcdn.com/bphoto/tcGztLHpEzYUHXKNB1KOfw/ms.jpg,https://www.yelp.com/biz/the-walt-disney-family-museum-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/the-walt-disney-family-museum-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153456800,+1-415-345-6800,736.0,"[[Museums, museums]]",4.5,"Visit on 11/26/16:

Focusing on the history, technology, and design that went into the making of Disneyland and the classic Disney tales, this two-story...","[Presidio of San Francisco, 104 Montgomery St]","[Presidio of San Francisco, 104 Montgomery St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8009002347, u'longitude': -122.45850563}",37.8009002347,-122.45850563
9,transit-san-francisco-2,False,TRANSIT,https://s3-media4.fl.yelpcdn.com/bphoto/yvt4m61v_EGp8ZRSi7OGQQ/ms.jpg,https://www.yelp.com/biz/transit-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/transit-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155614435,+1-415-561-4435,56.0,"[[Cafes, cafes], [Coffee & Tea, coffee], [American (Traditional), tradamerican]]",3.5,"man, what a gem.  a partial, but great view of GG bridge and the water.  good coffee.  good beer.  and the food is surprisingly excellent.  i didn't expect...",[215 Lincoln Blvd],"[215 Lincoln Blvd, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,Ralston Ave & Merchant Rd,[Presidio],"{u'latitude': 37.8015004, u'longitude': -122.4556809}",37.8015004,-122.4556809
