,id,is_closed,name,image_url,url,mobile_url,phone,display_phone,review_count,categories,rating,snippet_text,location_address,location_display_address,location_city,location_state_code,location_postal_code,location_country_code,location_cross_streets,location_neighborhoods,location_coordinate
0,baker-beach-sand-ladder-san-francisco-2,False,Baker Beach Sand Ladder,https://s3-media2.fl.yelpcdn.com/bphoto/N7LaQlc03CN0vRM-9vXsNQ/ms.jpg,https://www.yelp.com/biz/baker-beach-sand-ladder-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/baker-beach-sand-ladder-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,,,27.0,"[[Local Flavor, localflavor]]",4.5,"Did you know about the Sand Ladder?  If you did, then you know some of what you've read in other reviews.  Yep, there are lots of naked dudes at the bottom,...","[Baker Beach, Lincoln Blvd]","[Baker Beach, Lincoln Blvd, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.7967685093, u'longitude': -122.481746986}"
1,doughbies-san-francisco,False,Doughbies,https://s3-media2.fl.yelpcdn.com/bphoto/1dl5h7kHJULtzfnAzMrj7A/ms.jpg,https://www.yelp.com/biz/doughbies-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/doughbies-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,2016769602,+1-201-676-9602,190.0,"[[Bakeries, bakeries], [Food Delivery Services, fooddeliveryservices]]",4.5,"I wish yelp had more than 5 stars to give. These cookies are phenomenal.

I can only speak for a few of them though.

The chocolate chip is to die for, the...",[],"[Financial District, San Francisco, CA 94104]",San Francisco,CA,94104,US,,[Financial District],"{u'latitude': 37.78961, u'longitude': -122.40204}"
2,he-commissary-san-francisco,False,The Commissary,https://s3-media4.fl.yelpcdn.com/bphoto/srMW70uO2XCUsDIrFYg7yA/ms.jpg,https://www.yelp.com/biz/he-commissary-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/he-commissary-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155613600,+1-415-561-3600,257.0,"[[Spanish, spanish], [American (New), newamerican], [Beer, Wine & Spirits, beer_and_wine]]",3.5,My friends and I had a recent dinner club at The Commissary and had a great experience.  Dining in the Presidio is a pretty amazing thing and The Commissary...,[101 Montgomery St],"[101 Montgomery St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.799758721, u'longitude': -122.459699661}"
3,american-lamb-jam-san-francisco,False,American Lamb Jam,https://s3-media3.fl.yelpcdn.com/bphoto/YMo-s1P6RWgSpgaSZb95kg/ms.jpg,https://www.yelp.com/biz/american-lamb-jam-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/american-lamb-jam-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,,,19.0,"[[Specialty Food, gourmet], [Wineries, wineries]]",4.5,"Just got home from the second year in a row attending Lamb Jam.  What a great event! With a limited number of tickets sold, the crowds stay manageable. The...",[135 Fisher Lp],"[135 Fisher Lp, Presidio, San Francisco, CA 94123]",San Francisco,CA,94123,US,,[Presidio],"{u'latitude': 37.7999573, u'longitude': -122.4619827}"
4,transit-san-francisco-2,False,TRANSIT,https://s3-media4.fl.yelpcdn.com/bphoto/yvt4m61v_EGp8ZRSi7OGQQ/ms.jpg,https://www.yelp.com/biz/transit-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/transit-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155614435,+1-415-561-4435,55.0,"[[Cafes, cafes], [Coffee & Tea, coffee], [American (Traditional), tradamerican]]",3.5,"man, what a gem.  a partial, but great view of GG bridge and the water.  good coffee.  good beer.  and the food is surprisingly excellent.  i didn't expect...",[215 Lincoln Blvd],"[215 Lincoln Blvd, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,Ralston Ave & Merchant Rd,[Presidio],"{u'latitude': 37.8015004, u'longitude': -122.4556809}"
5,arguello-san-francisco,False,Arguello,https://s3-media1.fl.yelpcdn.com/bphoto/rV_X5Nq_fL44KpD0eFvOXA/ms.jpg,https://www.yelp.com/biz/arguello-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/arguello-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155613650,+1-415-561-3650,183.0,"[[Mexican, mexican], [Beer, Wine & Spirits, beer_and_wine]]",2.5,Had brunch here this morning. Great little hidden gem in the Presidio. Lots of parking which is a plus. Atmosphere is super cute-Spanish style with a big...,[50 Moraga Ave],"[50 Moraga Ave, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.7976268, u'longitude': -122.4589673}"
6,golden-gate-club-at-the-presidio-san-francisco,False,Golden Gate Club at the Presidio,https://s3-media2.fl.yelpcdn.com/bphoto/3AdptxtCA8tM0qWul9bNMQ/ms.jpg,https://www.yelp.com/biz/golden-gate-club-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/golden-gate-club-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155615444,+1-415-561-5444,51.0,"[[Venues & Event Spaces, venues]]",4.5,"Last month, my husband and I held our wedding at the gorgeous Golden Gate Club on the Presidio of San Francisco.   It was, without question, the most...",[135 Fisher Loop],"[135 Fisher Loop, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.800409, u'longitude': -122.461513}"
7,observation-post-at-the-presidio-san-francisco,False,Observation Post at the Presidio,https://s3-media3.fl.yelpcdn.com/bphoto/ONOFEMoxx5vQ_mzVZyzMXQ/ms.jpg,https://www.yelp.com/biz/observation-post-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/observation-post-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155615444,+1-415-561-5444,11.0,"[[Venues & Event Spaces, venues]]",4.5,"The Observation Post is a beautiful venue, especially for the ceremony. We got married here during Memorial weekend. We were looking for a venue with a view...",[211 Lincoln Blvd],"[211 Lincoln Blvd, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,Ralston Ave & Merchant Rd,[Presidio],"{u'latitude': 37.80238, u'longitude': -122.456515}"
8,lucianos-scoop-san-francisco-13,False,Luciano's Scoop,https://s3-media2.fl.yelpcdn.com/bphoto/aAoA5cUHiOjRJ1wJ0ZujVg/ms.jpg,https://www.yelp.com/biz/lucianos-scoop-san-francisco-13?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/lucianos-scoop-san-francisco-13?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,9163355024,+1-916-335-5024,30.0,"[[Gelato, gelato], [Food Trucks, foodtrucks], [Ice Cream & Frozen Yogurt, icecream]]",4.5,Mocha Almond Flakes & Dulce De Leche = YUMMY GOODNESS!!! Perfect cool down on these hot Sacramento days!,[Montgomery St The Presidio],"[Montgomery St The Presidio, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8007063551, u'longitude': -122.458203638}"
9,san-francisco-film-society-san-francisco-2,False,San Francisco Film Society,https://s3-media1.fl.yelpcdn.com/bphoto/Q6mlMZUrBjT5r_EbO1EoXQ/ms.jpg,https://www.yelp.com/biz/san-francisco-film-society-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/san-francisco-film-society-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155615000,+1-415-561-5000,28.0,"[[Community Service/Non-Profit, nonprofit], [Festivals, festivals]]",4.5,"Wow! I just saw ""The Taking of Tiger Mountain"", a huge 3-D film from Hong Kong & sponsored by their Economic & Trade Office.
The effects we saw @ The...","[39 Mesa St, Ste 110]","[39 Mesa St, Ste 110, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.7988317347, u'longitude': -122.456789017}"
