,categories,deals,display_phone,gift_certificates,id,image_url,is_claimed,is_closed,location_address,location_city,location_coordinate_latitude,location_coordinate_longitude,location_country_code,location_cross_streets,location_display_address,location_geo_accuracy,location_neighborhoods,location_postal_code,location_state_code,menu_date_updated,menu_provider,mobile_url,name,phone,rating,rating_img_url,rating_img_url_large,rating_img_url_small,review_count,snippet_image_url,snippet_text,url
0,"[[u'Pubs', u'pubs']]",,+1-415-928-2414,,the-black-horse-london-pub-san-francisco,https://s3-media4.fl.yelpcdn.com/bphoto/JXwoNneiO4OYfwy73dnIHw/ms.jpg,True,False,[u'1514 Union St'],San Francisco,37.79865,-122.42441,US,United States Highway 101 & Franklin St,"[u'1514 Union St', u'Marina/Cow Hollow', u'San Francisco, CA 94123']",8.0,[u'Marina/Cow Hollow'],94123,CA,,,https://m.yelp.com/biz/the-black-horse-london-pub-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,The Black Horse London Pub,4159282414,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,290,https://s3-media2.fl.yelpcdn.com/photo/wUMBjguSQMfBo3tVe7mkXw/ms.jpg,This is the best bar in San Francisco. Hell it might be my favorite bar in the country. The Black Horse London Pub (or B-Ho as my friends and I call it)...,https://www.yelp.com/biz/the-black-horse-london-pub-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
1,"[[u'Cocktail Bars', u'cocktailbars']]",,+1-415-744-5000,,pacific-cocktail-haven-san-francisco,https://s3-media1.fl.yelpcdn.com/bphoto/D1BEnPArYpvoR4C8P-sKfg/ms.jpg,True,False,[u'580 Sutter St'],San Francisco,37.7890686725,-122.409755724,US,,"[u'580 Sutter St', u'Union Square', u'San Francisco, CA 94108']",9.5,[u'Union Square'],94108,CA,,,https://m.yelp.com/biz/pacific-cocktail-haven-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Pacific Cocktail Haven,4157445000,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,63,https://s3-media3.fl.yelpcdn.com/photo/b5T6sbG_VtQBdZDWHjYyaw/ms.jpg,"SO GOOD.

Sorry trick dog, but another cocktail lounge has stolen my heart. I'm so impressed by SF's cocktail scene as it stands but like WOW. This takes...",https://www.yelp.com/biz/pacific-cocktail-haven-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
2,"[[u'Bars', u'bars']]",,+1-415-654-5061,,benjamin-cooper-san-francisco,https://s3-media1.fl.yelpcdn.com/bphoto/RQjcpICY7YKBjNstV6rFjA/ms.jpg,False,False,[u'398 Geary St'],San Francisco,37.7873489078,-122.409739556,US,Mason St & Powell St,"[u'398 Geary St', u'Union Square', u'San Francisco, CA 94102']",9.5,[u'Union Square'],94102,CA,,,https://m.yelp.com/biz/benjamin-cooper-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Benjamin Cooper,4156545061,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,171,https://s3-media2.fl.yelpcdn.com/photo/tsl5XVCarRJ520Y9qnlBtg/ms.jpg,"We found this because of Yelp. Thanks Yelp! I'll now add on to the praise.

We visited Benjamin Cooper back on 4th of July weekend. It's a shame because...",https://www.yelp.com/biz/benjamin-cooper-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
3,"[[u'Cafes', u'cafes'], [u'Wine Bars', u'wine_bars']]",,+1-415-634-7002,,bodega-san-francisco-2,https://s3-media2.fl.yelpcdn.com/bphoto/i2RvNJEXGZ30zAyxD_4OTg/ms.jpg,True,False,[u'700 Columbus Ave'],San Francisco,37.80135,-122.41129,US,,"[u'700 Columbus Ave', u'Russian Hill', u'San Francisco, CA 94133']",8.0,"[u'Russian Hill', u'North Beach/Telegraph Hill']",94133,CA,,,https://m.yelp.com/biz/bodega-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Bodega,4156347002,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,51,https://s3-media1.fl.yelpcdn.com/photo/fmydDW3U9cd4I5EfZ-RrNw/ms.jpg,"I normally don't write reviews, but this place is an exception. Out of all the coffee/restaurants in SF, this is my go to place. Honestly, I'm not surprised...",https://www.yelp.com/biz/bodega-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
4,"[[u'American (Traditional)', u'tradamerican'], [u'Beer Bar', u'beerbar']]",,,,hopwater-distribution-san-francisco,https://s3-media4.fl.yelpcdn.com/bphoto/g9IPryNiBa-Ik_xXZcrONA/ms.jpg,False,False,[u'850 Bush St'],San Francisco,37.7899538529,-122.411338985,US,Taylor St & Mason St,"[u'850 Bush St', u'Nob Hill', u'San Francisco, CA 94108']",9.5,"[u'Nob Hill', u'Union Square', u'Lower Nob Hill']",94108,CA,,,https://m.yelp.com/biz/hopwater-distribution-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Hopwater Distribution,,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,485,https://s3-media2.fl.yelpcdn.com/photo/gk1MjDkEwqpoOwkVXNad5Q/ms.jpg,"Nice bartenders.  They gave me and a friend good advice to grab a table ASAP before they became too crowded, rather than ordering our meals first.  Sure...",https://www.yelp.com/biz/hopwater-distribution-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
5,"[[u'Cocktail Bars', u'cocktailbars']]",,+1-415-441-2323,,mezcalito-san-francisco,https://s3-media1.fl.yelpcdn.com/bphoto/M0HRmbHCR0h7KcG5aD4u3w/ms.jpg,True,False,[u'2323 Polk St'],San Francisco,37.7981693919,-122.42238864,US,Union St & Green St,"[u'2323 Polk St', u'Russian Hill', u'San Francisco, CA 94109']",9.5,[u'Russian Hill'],94109,CA,,,https://m.yelp.com/biz/mezcalito-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Mezcalito,4154412323,4.0,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,21,https://s3-media4.fl.yelpcdn.com/photo/2b1nCtmb2MRtUw0Upuha5A/ms.jpg,"We have now celebrated our engagement here twice! The first time, we had some champagne and appetizers (all so good) the day we officially got engaged....",https://www.yelp.com/biz/mezcalito-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
6,"[[u'Wine Bars', u'wine_bars']]",,+1-415-516-6945,,robberbaron-san-francisco,https://s3-media4.fl.yelpcdn.com/bphoto/bUeG4JEkT91iV2ZifZctZw/ms.jpg,True,False,[u'2032 Polk St'],San Francisco,37.7955308,-122.4215883,US,Broadway St & Pacific Ave,"[u'2032 Polk St', u'Nob Hill', u'San Francisco, CA 94109']",9.5,[u'Nob Hill'],94109,CA,,,https://m.yelp.com/biz/robberbaron-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,robberbaron,4155166945,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,110,https://s3-media1.fl.yelpcdn.com/photo/oBlRDD0gZKWwELmCaQkKYA/ms.jpg,"This is a super cute neighborhood spot.  I am unsure about the vibe, but I like it.  There's swanky decor, old school top 40s playing, and the bartenders...",https://www.yelp.com/biz/robberbaron-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
7,"[[u'Pubs', u'pubs'], [u'Beer Bar', u'beerbar']]",,+1-415-660-5142,,liquid-gold-san-francisco,https://s3-media2.fl.yelpcdn.com/bphoto/WArdnffHtXqz9tjwJ6KFZQ/ms.jpg,True,False,[u'1040 Hyde St'],San Francisco,37.7906418,-122.4170609,US,California St & Pine St,"[u'1040 Hyde St', u'Nob Hill', u'San Francisco, CA 94109']",8.0,[u'Nob Hill'],94109,CA,,,https://m.yelp.com/biz/liquid-gold-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Liquid Gold,4156605142,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,106,https://s3-media1.fl.yelpcdn.com/photo/lAVf4Jx6Bxrd9R3De-JeYw/ms.jpg,I hope no one ever finds out about this place because I want it all to myself.  I love that it's never too packed. AND there is a wideeee selection of beer...,https://www.yelp.com/biz/liquid-gold-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
8,"[[u'Lounges', u'lounges'], [u'Cocktail Bars', u'cocktailbars']]",,+1-415-817-1712,,bar-587-san-francisco,https://s3-media4.fl.yelpcdn.com/bphoto/WnRfHjeZ7onan_pm5dySTQ/ms.jpg,True,False,[u'587 Post St'],San Francisco,37.7878531069,-122.41135776,US,Taylor St & Mason St,"[u'587 Post St', u'Union Square', u'San Francisco, CA 94102']",8.0,"[u'Union Square', u'Lower Nob Hill']",94102,CA,,,https://m.yelp.com/biz/bar-587-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,Bar 587,4158171712,4.5,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,75,https://s3-media4.fl.yelpcdn.com/photo/XquhdIlXtr53WiKz2PBvjQ/ms.jpg,"Randomly stopped in and LOVED it. Cozy, great service and great ambiance. 

The bartenders (Bill and Zach) were great and attentive. We ordered three...",https://www.yelp.com/biz/bar-587-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
9,"[[u'Bars', u'bars'], [u'American (Traditional)', u'tradamerican']]",,+1-415-982-8898,,the-boardroom-san-francisco,https://s3-media1.fl.yelpcdn.com/bphoto/stdpGohji_hSg6yLS7bKLA/ms.jpg,True,False,[u'1609 Powell St'],San Francisco,37.79948,-122.41085,US,Union St & Green St,"[u'1609 Powell St', u'Russian Hill', u'San Francisco, CA 94133']",8.0,"[u'Russian Hill', u'North Beach/Telegraph Hill']",94133,CA,,,https://m.yelp.com/biz/the-boardroom-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,The Boardroom,4159828898,4.0,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,379,https://s3-media4.fl.yelpcdn.com/photo/nrwFiamD66my1FJH5g8m2Q/ms.jpg,I randomly picked a bar on a map in a neighborhood we hadn't visited yet - and The Boardroom was it! I was pretty thrilled with my random choice. We sat...,https://www.yelp.com/biz/the-boardroom-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw
